temperature,humidity,vibration,current,status
76.5,94.9,1247,7.703,WARNING
71.5,82.4,2781,3.076,WARNING
44.0,70.9,2882,9.721,WARNING
78.5,81.5,3749,1.102,WARNING
33.3,51.6,770,8.769,NORMAL
69.5,78.5,3489,5.207,WARNING
30.6,77.5,2631,3.525,NORMAL
60.0,97.9,3259,4.953,FAULT
41.3,67.3,3660,0.522,NORMAL
30.7,63.1,2549,2.824,NORMAL
75.8,95.9,1732,9.791,FAULT
67.7,67.2,3922,6.111,FAULT
57.0,62.1,2197,1.028,NORMAL
32.5,90.8,1376,3.871,NORMAL
37.1,82.9,912,5.452,NORMAL
47.6,55.0,3349,3.965,WARNING
72.3,69.9,1132,9.261,WARNING
77.8,66.1,2611,6.765,WARNING
34.0,46.7,3839,5.722,NORMAL
40.8,55.6,3335,5.008,WARNING
76.7,71.6,2187,2.058,NORMAL
27.3,41.0,2458,1.199,NORMAL
58.9,69.7,2384,1.826,NORMAL
71.9,57.3,3032,0.857,WARNING
76.9,88.7,3749,5.508,FAULT
72.5,59.4,3746,6.307,FAULT
47.3,53.8,890,2.126,NORMAL
72.8,44.0,875,9.522,WARNING
68.4,77.2,3413,5.155,WARNING
34.4,99.0,2562,4.721,WARNING
74.1,45.1,3300,3.139,WARNING
73.1,87.1,2527,8.613,FAULT
52.9,46.3,1158,3.445,NORMAL
29.7,57.5,1944,3.96,NORMAL
56.9,51.7,1326,5.049,NORMAL
62.8,44.0,3332,6.474,FAULT
55.1,46.4,1356,4.544,NORMAL
58.5,64.7,1280,5.087,NORMAL
41.1,45.7,550,4.688,NORMAL
55.6,72.8,2323,1.345,NORMAL
57.0,74.1,3246,8.645,FAULT
36.5,59.0,1782,4.504,NORMAL
55.5,53.4,2579,4.409,WARNING
74.6,70.6,2498,8.114,WARNING
58.6,91.2,2565,8.13,FAULT
27.1,83.6,1621,0.769,NORMAL
43.4,71.3,3475,2.152,NORMAL
72.9,79.1,1705,2.441,NORMAL
76.7,43.2,1936,1.743,NORMAL
26.5,53.6,1655,8.047,NORMAL
23.9,58.4,1311,3.759,NORMAL
65.1,59.7,849,1.027,NORMAL
44.3,68.9,2429,7.967,NORMAL
23.6,56.2,2580,4.713,NORMAL
54.6,90.8,2280,9.211,FAULT
27.0,80.4,3625,3.742,NORMAL
70.6,90.5,823,8.629,FAULT
77.9,82.5,3274,7.63,FAULT
58.3,50.3,4064,5.211,WARNING
38.7,74.8,3902,0.527,NORMAL
80.0,86.0,3874,7.798,FAULT
65.6,48.7,1743,3.073,NORMAL
66.4,80.0,2184,8.034,WARNING
79.1,40.6,1543,7.598,WARNING
37.4,89.8,2519,4.37,WARNING
43.1,52.1,2840,8.074,WARNING
37.9,86.8,1673,2.296,NORMAL
36.5,67.5,3669,3.149,NORMAL
22.7,55.7,3372,8.495,WARNING
42.4,79.6,1723,3.966,NORMAL
31.0,86.3,2743,2.477,NORMAL
29.2,98.1,1176,2.38,NORMAL
23.6,97.0,941,1.701,NORMAL
48.3,65.7,2304,1.631,NORMAL
37.7,81.4,3026,5.38,WARNING
60.8,63.9,1791,4.84,NORMAL
64.9,71.3,1632,0.757,NORMAL
55.2,62.6,3631,2.467,WARNING
37.4,84.4,2563,3.413,NORMAL
36.4,66.9,3226,6.095,WARNING
41.7,69.2,3745,8.231,WARNING
75.3,50.7,2800,7.859,WARNING
55.8,61.2,3757,4.24,WARNING
42.3,86.8,3955,8.78,FAULT
55.3,92.1,708,5.332,WARNING
28.9,41.2,942,6.722,NORMAL
78.6,44.6,796,9.307,WARNING
51.9,86.6,2409,3.035,NORMAL
35.1,81.9,658,6.347,NORMAL
23.8,66.2,927,2.789,NORMAL
73.2,41.9,3227,9.662,FAULT
60.9,89.1,2072,4.481,WARNING
56.2,82.9,3589,2.094,WARNING
32.8,83.9,3849,4.683,WARNING
41.6,40.3,3201,3.539,NORMAL
70.8,47.8,623,0.943,NORMAL
38.9,85.0,1478,9.03,WARNING
58.6,67.0,3991,6.184,WARNING
79.3,87.4,3612,6.859,FAULT
39.6,61.4,2088,5.517,NORMAL
56.7,43.5,3977,4.932,WARNING
50.6,70.7,3528,6.045,WARNING
50.9,44.4,2588,7.944,WARNING
52.5,57.1,3896,9.004,FAULT
47.9,40.4,2967,1.059,NORMAL
30.5,86.8,2055,1.961,NORMAL
22.4,41.8,786,4.965,NORMAL
49.2,66.0,2774,0.664,NORMAL
61.1,40.4,3823,9.143,FAULT
25.8,72.6,4012,6.278,WARNING
44.5,86.9,3249,1.143,WARNING
29.6,65.2,1448,4.014,NORMAL
47.7,75.0,1942,9.015,WARNING
47.6,97.5,2195,2.966,WARNING
42.5,62.2,755,4.429,NORMAL
52.1,72.2,3031,4.5,WARNING
32.0,75.3,3033,1.91,NORMAL
51.2,89.7,3365,2.322,WARNING
45.2,86.9,2720,2.393,WARNING
74.0,58.5,858,6.392,WARNING
56.0,94.1,572,6.23,WARNING
32.0,77.1,3849,0.622,NORMAL
52.0,49.8,3801,6.148,WARNING
71.2,60.2,2073,7.314,WARNING
33.2,60.1,1594,7.418,NORMAL
45.5,64.4,3338,4.457,WARNING
73.7,67.7,2923,5.697,WARNING
78.8,98.5,3792,9.354,FAULT
63.7,69.6,1650,5.253,NORMAL
67.3,91.6,1671,5.941,WARNING
51.8,63.2,2289,7.057,WARNING
75.3,75.0,2743,2.47,WARNING
67.3,99.2,3832,5.173,FAULT
69.1,45.1,3375,7.552,FAULT
49.3,53.4,3500,2.892,WARNING
34.6,60.7,1764,4.223,NORMAL
21.8,92.4,2419,8.122,WARNING
22.8,44.6,3004,1.548,NORMAL
23.9,83.3,2119,3.186,NORMAL
66.4,82.1,1307,8.489,WARNING
23.5,50.1,1556,9.878,NORMAL
66.9,61.2,882,4.878,NORMAL
27.4,49.4,1017,6.233,NORMAL
36.1,88.1,2150,5.757,NORMAL
66.0,46.8,1974,1.672,NORMAL
28.5,68.3,1320,8.637,NORMAL
49.7,90.2,2059,4.578,WARNING
53.9,91.2,751,4.26,WARNING
59.2,59.2,2292,1.362,NORMAL
70.9,79.2,3074,7.864,WARNING
58.8,91.2,1286,9.833,WARNING
57.4,87.6,1271,3.982,NORMAL
29.0,57.0,3177,8.79,WARNING
31.2,45.2,1724,4.027,NORMAL
23.6,64.4,2758,6.285,NORMAL
21.6,91.4,2452,7.723,WARNING
36.1,61.6,2117,9.476,WARNING
58.3,78.3,2396,5.189,NORMAL
27.9,90.3,2731,4.597,WARNING
76.5,44.2,2926,2.171,WARNING
64.4,54.9,3461,5.378,WARNING
75.5,55.5,1721,7.275,WARNING
42.3,99.7,2298,1.594,NORMAL
38.4,54.3,3696,2.974,NORMAL
76.9,55.5,3651,4.024,WARNING
70.0,47.0,604,2.006,NORMAL
52.6,90.5,3179,9.727,FAULT
67.6,91.3,2151,5.906,WARNING
37.1,48.8,3018,4.966,NORMAL
66.4,41.8,1752,9.992,WARNING
35.0,55.0,2903,9.444,WARNING
71.2,94.7,2760,5.994,FAULT
41.0,53.2,2992,9.324,WARNING
22.8,40.7,3002,3.134,NORMAL
21.6,69.5,1949,7.508,NORMAL
29.0,97.6,1011,4.152,NORMAL
29.9,97.3,1870,5.793,NORMAL
70.2,75.6,2952,3.555,WARNING
52.1,83.5,1156,8.316,WARNING
41.5,97.8,931,1.893,NORMAL
47.7,78.1,758,8.788,WARNING
69.1,54.5,2445,1.73,NORMAL
28.9,64.8,3365,3.498,NORMAL
44.1,46.9,2140,2.828,NORMAL
42.0,42.7,3527,2.568,NORMAL
73.1,54.4,1685,9.515,WARNING
48.3,62.9,1543,4.809,NORMAL
27.1,94.8,2276,4.669,NORMAL
73.2,94.9,1633,2.727,WARNING
58.5,84.5,1259,4.023,NORMAL
67.1,74.7,3072,9.107,FAULT
53.4,96.5,1171,1.89,NORMAL
25.7,77.6,3505,1.95,NORMAL
42.9,89.1,503,5.686,NORMAL
53.0,60.6,1684,8.913,WARNING
72.8,76.9,2689,0.816,WARNING
32.9,47.4,1564,2.821,NORMAL
41.6,85.8,1703,7.309,NORMAL
61.1,53.0,848,5.765,WARNING
44.2,82.5,1688,2.762,NORMAL
64.6,64.9,2832,1.765,WARNING
25.1,87.7,2030,6.229,NORMAL
33.9,70.5,1000,6.546,NORMAL
78.3,99.1,1044,8.692,FAULT
24.7,63.6,3872,4.692,NORMAL
23.3,80.4,2308,3.068,NORMAL
24.8,82.4,1208,4.393,NORMAL
35.3,92.3,960,4.663,NORMAL
31.3,40.9,1768,3.707,NORMAL
78.4,68.0,3005,4.793,WARNING
53.5,67.0,3409,3.798,WARNING
68.9,94.1,604,7.67,WARNING
66.1,73.3,1176,5.059,NORMAL
74.5,41.2,2472,7.803,WARNING
62.5,99.1,4074,4.047,FAULT
35.9,86.9,3328,2.589,WARNING
39.7,63.8,2216,8.865,WARNING
59.4,82.5,776,4.994,NORMAL
79.1,83.0,2409,2.64,WARNING
50.3,84.5,2178,5.88,WARNING
52.6,65.6,2036,9.987,WARNING
38.9,80.6,1090,0.862,NORMAL
54.4,77.3,608,2.369,NORMAL
65.9,44.7,1678,3.415,NORMAL
43.7,74.2,908,9.221,NORMAL
41.0,79.6,2166,2.647,NORMAL
31.6,42.3,3640,8.551,WARNING
69.9,98.7,681,3.494,WARNING
68.2,75.3,2185,1.009,NORMAL
77.9,47.8,3867,6.061,FAULT
74.4,86.5,2146,6.277,WARNING
45.5,91.9,2410,8.299,FAULT
26.4,68.4,1770,6.118,NORMAL
47.5,83.5,3713,3.219,WARNING
47.2,90.3,3115,5.906,WARNING
46.3,75.2,626,2.797,NORMAL
32.0,88.5,3235,5.75,WARNING
49.5,97.8,3421,3.005,WARNING
48.7,87.3,1196,1.89,NORMAL
50.8,95.8,3805,9.778,FAULT
74.3,81.7,2810,2.317,WARNING
42.5,67.7,2453,6.808,NORMAL
57.2,77.3,2459,2.516,NORMAL
58.6,86.2,829,5.421,NORMAL
63.3,58.6,631,8.055,WARNING
51.4,97.6,3991,9.262,WARNING
64.0,62.7,4020,4.886,WARNING
65.9,72.7,3448,2.449,WARNING
78.0,83.7,1597,4.866,WARNING
71.7,47.8,4077,1.379,WARNING
37.1,89.7,4046,3.791,WARNING
63.0,57.6,1863,0.829,NORMAL
46.5,86.6,2559,2.491,WARNING
41.8,47.7,2480,4.78,NORMAL
62.2,67.9,3814,3.871,WARNING
75.7,69.4,4082,5.26,WARNING
30.6,81.6,2335,7.639,NORMAL
27.2,99.3,3773,0.805,NORMAL
37.9,88.4,2474,1.494,NORMAL
46.0,86.8,3836,5.299,NORMAL
47.6,84.2,3642,6.737,FAULT
22.0,97.5,1000,4.727,NORMAL
72.1,94.9,3703,7.595,FAULT
68.0,42.5,2770,3.358,WARNING
30.0,51.9,1790,9.976,FAULT
31.2,65.6,3611,4.522,NORMAL
52.1,81.9,1121,5.527,NORMAL
21.8,48.1,3953,2.738,NORMAL
36.7,60.3,1973,9.818,WARNING
79.3,55.5,3208,3.153,WARNING
43.6,61.4,3577,6.389,WARNING
21.7,60.1,2078,4.543,NORMAL
38.6,42.6,3141,2.469,NORMAL
48.9,45.4,3492,0.909,WARNING
53.2,81.5,3811,3.987,WARNING
27.3,67.4,2252,8.776,NORMAL
47.7,51.4,3142,1.715,NORMAL
59.7,64.5,3600,5.641,WARNING
32.6,50.6,1672,4.131,NORMAL
33.1,85.3,1097,1.659,WARNING
62.2,49.1,3045,3.554,WARNING
50.8,60.3,1140,7.152,NORMAL
67.4,64.8,1313,9.587,WARNING
68.1,72.2,1647,4.751,NORMAL
32.3,72.8,1051,4.932,NORMAL
40.4,94.9,1459,3.982,NORMAL
33.8,57.1,1101,3.609,NORMAL
56.2,86.1,613,2.801,NORMAL
63.6,60.0,694,3.868,NORMAL
73.1,50.8,2914,2.669,WARNING
78.2,80.8,2657,3.161,WARNING
26.5,63.6,3790,9.049,WARNING
53.0,95.9,1553,3.52,NORMAL
51.8,96.8,2202,1.893,WARNING
38.6,57.6,2509,3.459,NORMAL
39.1,47.3,759,8.632,NORMAL
28.8,77.2,2197,7.24,NORMAL
58.6,83.2,2362,4.869,WARNING
26.4,70.8,2233,7.697,NORMAL
64.9,81.7,2469,2.141,WARNING
41.8,89.0,3114,3.419,NORMAL
78.2,81.8,1293,1.354,NORMAL
57.4,73.2,2896,7.16,WARNING
66.7,61.8,3460,0.963,WARNING
26.1,85.0,1174,4.188,NORMAL
20.4,95.5,2847,0.761,NORMAL
41.2,62.9,539,2.028,NORMAL
22.4,46.2,1585,8.727,NORMAL
32.0,53.0,1319,4.145,NORMAL
49.0,76.1,1131,5.033,NORMAL
44.6,87.1,3099,2.603,NORMAL
67.4,67.6,2603,1.711,WARNING
35.7,77.5,1933,5.768,NORMAL
53.8,93.3,3855,8.46,FAULT
70.4,86.2,3093,3.901,WARNING
26.8,73.0,3065,4.649,NORMAL
55.9,61.4,3115,3.249,NORMAL
31.1,78.6,944,7.497,NORMAL
73.7,83.3,3658,3.734,WARNING
33.2,94.1,2191,7.511,WARNING
38.4,72.8,1722,7.552,NORMAL
24.1,83.3,763,1.955,NORMAL
23.8,59.6,3315,7.014,WARNING
42.9,46.7,3333,0.811,NORMAL
76.7,85.4,1354,5.227,WARNING
65.2,63.2,4002,2.087,WARNING
37.0,78.7,4055,0.896,NORMAL
58.3,48.3,3266,4.248,WARNING
58.0,70.7,3025,7.752,WARNING
72.7,88.1,3846,9.549,FAULT
75.4,45.9,3060,3.747,WARNING
61.0,75.4,1277,3.52,NORMAL
78.4,64.6,2967,6.138,WARNING
48.6,46.6,1888,5.13,NORMAL
49.0,87.8,3308,8.465,FAULT
32.0,66.7,795,1.582,NORMAL
24.7,59.2,1656,7.488,NORMAL
62.4,44.3,2640,9.586,FAULT
38.8,76.1,3313,7.874,WARNING
58.7,79.4,2315,5.013,NORMAL
45.6,55.1,1491,5.91,NORMAL
60.0,71.6,1741,7.985,NORMAL
43.2,62.4,2225,4.584,NORMAL
78.5,84.0,2067,0.82,WARNING
62.7,48.7,1560,4.551,NORMAL
20.9,68.6,2627,8.715,WARNING
23.3,92.9,1323,6.925,NORMAL
55.0,75.2,2856,1.643,NORMAL
66.8,60.9,3885,0.681,WARNING
51.9,49.0,2307,2.231,NORMAL
24.9,57.3,3405,6.318,WARNING
62.6,83.6,3420,6.499,FAULT
65.3,86.8,3143,5.451,WARNING
76.0,88.4,1410,5.599,WARNING
42.3,90.7,2753,1.937,WARNING
32.7,93.0,2492,4.275,NORMAL
52.0,98.3,3895,2.401,WARNING
78.0,92.5,2301,7.497,FAULT
42.2,41.1,1702,1.945,NORMAL
31.0,40.7,3492,8.745,WARNING
79.6,44.3,2740,5.889,WARNING
26.3,45.9,3539,4.297,NORMAL
40.9,47.1,2875,1.333,NORMAL
30.6,80.6,3755,2.709,NORMAL
62.1,92.5,1101,5.555,WARNING
54.3,69.5,2849,1.121,NORMAL
68.1,80.8,3283,2.697,WARNING
64.9,85.5,3973,6.577,FAULT
32.2,89.4,2086,4.657,NORMAL
21.8,52.6,3641,3.456,NORMAL
72.6,55.3,1310,6.294,NORMAL
56.2,57.1,677,2.771,NORMAL
71.7,72.7,2163,6.53,WARNING
58.7,67.5,3452,9.928,FAULT
40.1,48.2,1021,3.268,NORMAL
52.4,51.8,708,9.892,WARNING
36.5,40.1,2786,3.652,NORMAL
71.8,73.9,2887,3.326,WARNING
51.1,96.4,3469,8.877,FAULT
45.9,82.4,1134,5.006,NORMAL
76.8,45.4,4053,9.288,FAULT
40.6,70.3,3407,8.759,WARNING
41.4,47.5,2232,3.221,NORMAL
23.4,92.8,3670,1.895,WARNING
75.2,80.3,2274,8.148,FAULT
38.7,49.2,3798,6.463,WARNING
27.9,71.7,2176,1.419,NORMAL
27.2,82.1,576,7.453,NORMAL
35.5,73.0,2882,3.865,NORMAL
67.3,82.3,1336,8.977,WARNING
27.4,42.7,2409,9.851,NORMAL
55.3,94.5,3400,2.553,WARNING
69.6,52.1,3209,5.81,WARNING
63.6,40.6,1267,9.124,WARNING
69.0,60.5,816,9.903,WARNING
65.5,40.8,974,7.972,WARNING
46.2,40.2,1654,7.579,NORMAL
20.6,88.4,3765,9.491,WARNING
44.5,49.5,2140,8.605,WARNING
65.5,67.1,618,8.026,WARNING
56.0,97.7,2824,6.993,FAULT
72.4,49.9,818,0.793,NORMAL
47.7,68.4,3074,0.644,NORMAL
50.8,45.1,3185,9.811,WARNING
54.4,42.9,1646,3.241,NORMAL
50.7,47.5,2283,8.969,WARNING
71.3,87.1,2698,3.521,WARNING
60.3,93.5,3679,8.532,FAULT
79.7,40.1,966,6.545,WARNING
40.3,43.1,1904,4.753,NORMAL
64.1,86.7,3605,1.954,WARNING
35.5,46.1,1339,6.962,NORMAL
25.5,43.5,1040,4.154,NORMAL
37.7,67.9,2328,9.395,WARNING
57.2,70.5,4058,2.198,WARNING
77.5,65.8,3221,7.561,NORMAL
50.7,73.1,2238,2.25,NORMAL
54.1,85.3,1169,9.768,WARNING
33.4,70.4,1796,1.621,NORMAL
67.2,80.4,3121,6.854,FAULT
68.0,58.9,4020,5.01,WARNING
43.8,56.7,1157,6.543,NORMAL
25.4,55.2,3683,5.77,NORMAL
60.3,77.9,2169,9.479,WARNING
70.0,67.1,1389,1.628,NORMAL
35.1,97.9,3948,6.164,FAULT
49.5,41.3,2170,2.864,NORMAL
50.0,74.3,2225,9.655,WARNING
72.4,60.1,831,2.831,NORMAL
50.5,68.3,2236,0.879,NORMAL
76.5,56.1,892,2.936,NORMAL
31.4,54.2,2097,7.714,NORMAL
52.5,71.8,1717,3.13,NORMAL
69.4,57.4,2008,5.864,WARNING
42.7,83.1,3306,2.749,WARNING
78.2,88.3,2910,0.959,WARNING
72.4,55.4,2664,6.446,WARNING
35.6,82.2,1464,8.701,WARNING
45.2,79.7,4043,6.288,WARNING
56.2,70.8,2705,3.238,NORMAL
43.8,70.0,3599,2.128,NORMAL
38.3,58.4,2792,1.838,NORMAL
58.7,58.3,2075,4.575,NORMAL
52.5,94.9,3754,6.51,FAULT
40.9,76.8,3256,9.529,WARNING
60.7,47.2,1120,1.533,NORMAL
64.9,94.2,1205,9.759,FAULT
26.5,68.2,898,6.827,NORMAL
25.5,77.4,3969,3.731,WARNING
75.6,80.3,3477,3.321,WARNING
24.1,82.8,2747,8.41,WARNING
23.0,40.8,2149,9.79,NORMAL
29.4,65.6,2561,2.608,NORMAL
21.1,80.2,2782,7.64,WARNING
43.9,70.0,3621,9.299,WARNING
62.2,76.6,2815,6.887,WARNING
58.8,54.7,864,9.518,WARNING
23.6,52.8,594,0.689,NORMAL
24.8,58.1,612,8.334,NORMAL
39.6,77.5,590,7.728,NORMAL
57.3,94.3,1138,9.629,WARNING
36.0,51.6,3176,7.087,WARNING
52.3,58.3,2168,2.111,NORMAL
41.1,84.6,3615,5.02,WARNING
23.4,49.1,3814,4.054,NORMAL
